Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
Work with requirements as a solution architect for Microsoft Power Platform and Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/work-with-requirements/,7,666,"3,370",40.89%,450,184,191,2,125.5622222,11.31191191,23,4.777777778,9,,,dynamics-365;dynamics-finance;dynamics-finance-operations;dynamics-business-central;dynamics-customer-service;dynamics-field-service;dynamics-human-resources;dynamics-marketing;dynamics-commerce;dynamics-sales;dynamics-scm;power-automate;power-bi;power-apps;power-platform,solution-architect,advanced
Build your first workflow with Power Automate and Dataverse for Teams,https://docs.microsoft.com/en-us/learn/modules/build-first-workflow/,7,401,"2,382",63.32%,289,183,203,,63.73888889,9.536990856,25,4.777777778,9,,,power-platform;power-automate,business-user;maker,beginner
Introduction to securing data at rest on Azure,https://docs.microsoft.com/en-us/learn/modules/secure-data-at-rest/,6,377,"1,925",79.91%,229,183,200,,35.68,5.678514589,30,5,7,,,azure;azure-sql-database;azure-cosmos-db;azure-storage;azure-key-vault,solution-architect;developer,beginner
Create sales documents in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/create-sales-documents-dynamics-365-business-central/,13,505,"5,263",40.72%,447,182,164,1,299.1680556,35.54471947,119,4.166666667,6,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate
Work with Microsoft Dataverse Web API,https://docs.microsoft.com/en-us/learn/modules/common-data-service-web-api/,10,684,"4,500",32.91%,553,182,176,,217.3011111,19.06150097,125,5,5,,,dynamics-365;power-platform,developer,advanced
Troubleshoot Microsoft Teams Voice Issues,https://docs.microsoft.com/en-us/learn/modules/troubleshoot-microsoft-teams-voice-issues/,6,572,"2,811",42.19%,429,181,190,2,135.5575,14.21931818,39,4.307692308,13,,,m365;office-teams,support-engineer,advanced
Confusion matrix and data imbalances,https://docs.microsoft.com/en-us/learn/modules/machine-learning-confusion-matrix/,9,346,"2,648",67.42%,267,180,198,1,185.7705556,32.21454721,52,4.307692308,13,180,129,azure,ai-engineer;data-scientist;student,beginner
Deploy a Spring Boot app to Azure,https://docs.microsoft.com/en-us/learn/modules/deploy-java-spring-boot-app-service-mysql/,7,767,"4,385",32.67%,551,180,194,1,159.4997222,12.4771621,30,4.909090909,11,,,azure;azure-app-service;azure-app-service-web;azure-database-mysql,developer,intermediate
Use entity behavior analytics in Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/use-entity-behavior-analytics-azure-sentinel/,6,290,"1,827",75.31%,239,180,197,,71.95388889,14.88701149,27,4.333333333,9,,,azure;azure-sentinel,security-operations-analyst,intermediate
Implement application lifecycle management in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/application-lifecycle-finance-operations/,6,454,"2,381",62.81%,285,179,181,2,108.4247222,14.32925844,55,4.7,10,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer;functional-consultant;solution-architect;administrator,advanced
Implement security for Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/implement-security-for-microsoft-teams/,8,302,"2,361",70.75%,253,179,194,1,110.6383333,21.98112583,35,5,5,,,m365;office-teams,administrator,intermediate
Troubleshoot mail flow with Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-troubleshoot-mail-flow/,7,417,"2,783",57.93%,309,179,182,,69.35083333,9.97853717,19,4.705882353,17,,,m365;office-365;office-exchange-server,administrator,intermediate
Enterprise-scale architecture operational design principles,https://docs.microsoft.com/en-us/learn/modules/enterprise-scale-operations/,5,373,"1,614",73.86%,241,178,198,1,54.45166667,8.758981233,44,5,13,,,azure,solution-architect,advanced
Introduction to machine learning with PyTorch,https://docs.microsoft.com/en-us/learn/modules/intro-machine-learning-pytorch/,10,"2,648","13,070",7.07%,"2,516",178,204,2,1087.059167,24.63125,90,4.709677419,31,"1,474","1,057",azure,data-scientist;developer;student,beginner
Track Azure Databricks experiments in Azure Machine Learning,https://docs.microsoft.com/en-us/learn/modules/track-azure-databricks-experiments-azure-machine-learning/,8,303,"2,828",67.94%,262,178,209,1,99.7175,19.7460396,24,5,4,,,azure-databricks,data-scientist,intermediate
Create a knowledge store with Azure Cognitive Search,https://docs.microsoft.com/en-us/learn/modules/create-knowledge-store-azure-cognitive-search/,6,392,"2,231",51.16%,346,177,202,1,68.18083333,10.43584184,46,5,6,,,azure-cognitive-search,ai-engineer;developer;solution-architect,intermediate
Get started with a Finance and Operations implementation project,https://docs.microsoft.com/en-us/learn/modules/get-started-implementation-project/,7,555,"2,584",42.75%,414,177,180,,80.34944444,8.686426426,49,4.875,8,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;solution-architect;developer,intermediate
Introduce configuration and personalization to Dynamics 365 Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/introduce-configure-personalization-dynamics-365-finance-operations-apps/,6,360,"2,030",63.90%,277,177,170,,36.04888889,6.008148148,11,4.6,5,,,dynamics-365;dynamics-finance;dynamics-finance-operations;dynamics-human-resources;dynamics-scm,administrator;business-analyst;business-user;developer;functional-consultant;solution-architect,beginner
Deploy Azure Databricks models in Azure Machine Learning,https://docs.microsoft.com/en-us/learn/modules/deploy-azure-databricks-models-azure-machine-learning/,8,312,"2,617",67.43%,261,176,200,1,82.31888889,15.83055556,24,4.833333333,6,,,azure-databricks,data-scientist,intermediate
Deploy message encryption in Office 365,https://docs.microsoft.com/en-us/learn/modules/deploy-message-encryption-microsoft-365/,6,314,"1,909",69.29%,254,176,179,1,63.49222222,12.13227176,32,4.8,5,,,office-365;m365-information-protection,auditor;ip-admin;risk-practitioner,intermediate
Set up Trade in Microsoft Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/trade-set-up-dynamics-365-business-central/,6,386,"2,503",54.83%,321,176,174,,117.6780556,18.29192573,41,4.545454545,11,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate
Connect Azure assets to Azure Defender,https://docs.microsoft.com/en-us/learn/modules/connect-azure-assets-to-azure-defender/,6,291,"1,788",70.56%,248,175,197,,67.515,13.92061856,35,5,3,,,azure;azure-security-center,security-operations-analyst,intermediate
Excel automation in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/modules/pad-excel-automation/,9,"3,070","11,638",10.37%,"1,688",175,166,,362.0083333,7.075081433,68,4.5,16,,,power-platform;power-automate,maker;developer;functional-consultant,beginner;intermediate
Explain cloud workload protections in Azure Defender,https://docs.microsoft.com/en-us/learn/modules/understand-azure-defender-cloud-workload-protection/,13,366,"3,638",59.93%,292,175,207,,154.2441667,25.28592896,57,5,5,,,azure;azure-security-center,security-operations-analyst,intermediate
Explain threat hunting concepts in Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/what-is-threat-hunting-azure-sentinel/,5,305,"1,533",65.06%,269,175,176,1,43.74583333,8.605737705,20,5,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Get started with configuration in Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/get-started-configuration-dynamics-365/,7,640,"3,519",38.80%,451,175,162,,177.4202778,16.63315104,16,5,6,,,common-data-service;dynamics-365;dynamics-customer-service;dynamics-field-service;dynamics-marketing;dynamics-sales,administrator;business-analyst;business-user;developer;functional-consultant,beginner
Manage AD DS domain controllers and FSMO roles,https://docs.microsoft.com/en-us/learn/modules/manage-active-directory-domain-services-flexible-single-master-operation-roles/,8,737,"4,055",37.55%,466,175,211,4,263.7202778,21.46976481,54,4.5,20,,,windows-server,administrator;solution-architect;technology-manager,intermediate
Work with user-defined functions,https://docs.microsoft.com/en-us/learn/modules/work-with-user-defined-functions/,5,331,"1,955",62.72%,279,175,207,,55.45777778,10.05276939,33,4.571428571,7,,,azure-databricks,data-scientist,intermediate
Improve your reliability with modern operations practices: Monitoring,https://docs.microsoft.com/en-us/learn/modules/improve-reliability-monitoring/,9,332,"2,297",63.27%,275,174,190,1,78.5525,14.19623494,43,4.785714286,14,,,azure,administrator;devops-engineer;solution-architect;technology-manager,beginner
Introduction to Azure Stack,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-stack/,7,651,"3,487",32.83%,530,174,173,2,227.1122222,20.93200205,47,4.727272727,11,,,azure-stack-hci;azure-stack;azure-stack-edge;azure-stack-hub,administrator;student,beginner
Improve your reliability with modern operations practices: Capacity planning and scaling,https://docs.microsoft.com/en-us/learn/modules/improve-reliability-scaling/,7,268,"1,744",76.55%,226,173,188,1,58.57777778,13.11442786,32,4.857142857,14,,,azure,administrator;devops-engineer;solution-architect;technology-manager,beginner
"Deploy MariaDB, MySQL, and PostgreSQL on Azure",https://docs.microsoft.com/en-us/learn/modules/deploy-mariadb-mysql-postgresql-azure/,8,532,"2,899",48.86%,352,172,181,,96.81777778,10.91929825,43,4.571428571,14,,,azure;azure-sql-database,data-engineer;database-administrator,intermediate
Get started with Dynamics 365 Guides,https://docs.microsoft.com/en-us/learn/modules/get-started-guides/,7,"1,422","5,477",14.03%,"1,226",172,137,5,107.4775,4.534915612,50,4.777777778,18,,,dynamics-365;dynamics-guides;hololens,functional-consultant;administrator;solution-architect;business-user,beginner
Implement and monitor the integration of enterprise apps for SSO,https://docs.microsoft.com/en-us/learn/modules/implement-monitor-integration-of-enterprise-apps-for-sso/,9,380,"2,836",57.19%,299,171,186,,154.7502778,24.43425439,38,4.75,8,,,azure;azure-active-directory,administrator;identity-access-admin;security-engineer,advanced
Make decisions with JavaScript,https://docs.microsoft.com/en-us/learn/modules/web-development-101-if-else/,8,344,"2,253",73.08%,234,171,204,5,54.22166667,9.457267442,14,4.954545455,22,64,61,vs-code,student,beginner
Plan and implement migration to Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-migration/,6,513,"2,742",46.59%,367,171,172,1,184.2755556,21.55269656,23,4.714285714,14,,,m365;office-365;office-exchange-server,administrator,intermediate
Store and access graph data in Azure Cosmos DB with the Graph API,https://docs.microsoft.com/en-us/learn/modules/store-access-data-cosmos-graph-api/,8,537,"2,681",59.58%,287,171,194,,106.5313889,11.90294848,42,4,2,117,111,azure;azure-cosmos-db,developer,beginner
Provide governance in a Power BI environment,https://docs.microsoft.com/en-us/learn/modules/power-bi-admin-governance/,8,439,"2,687",68.83%,247,170,182,1,54.08194444,7.391609719,12,4.846153846,13,,,power-platform;power-bi,administrator,intermediate
Set up purchase prices and discounts in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/set-up-prices-discounts-dynamics-365-business-central/,6,450,"2,759",52.63%,323,170,162,1,105.8219444,14.10959259,36,4,4,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate
Connect Microsoft services to Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/connect-microsoft-services-to-azure-sentinel/,7,275,"1,986",71.91%,235,169,199,,50.20888889,10.95466667,23,5,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Discover Power Apps portals features,https://docs.microsoft.com/en-us/learn/modules/portal-features/,5,401,"1,881",55.78%,303,169,172,1,107.3122222,16.0566916,30,4.8,10,,,power-apps;power-platform,maker;functional-consultant,intermediate
Introduction to Azure for SAP workloads,https://docs.microsoft.com/en-us/learn/modules/introduction-azure-sap-workloads/,8,888,"5,235",22.27%,759,169,132,2,367.8622222,24.85555556,50,4.9,10,,,azure,administrator,advanced
Successful interviewing,https://docs.microsoft.com/en-us/learn/modules/career-interview/,9,796,"4,070",32.88%,514,169,175,4,108.3141667,8.164384422,30,4.857142857,14,,,vs,developer,beginner
Introduction to Xamarin.Android,https://docs.microsoft.com/en-us/learn/modules/introduction-to-xamarin-android/,9,927,"5,883",25.85%,650,168,153,,443.6205556,28.71330457,59,5,14,,,xamarin;vs;dotnet,developer;student,beginner
Plan and implement privileged access,https://docs.microsoft.com/en-us/learn/modules/plan-implement-privileged-access/,10,430,"3,074",48.41%,347,168,194,,148.9127778,20.77852713,59,4.428571429,7,,,azure;azure-active-directory,administrator;identity-access-admin;security-engineer,advanced
Set up an IoT Edge Gateway,https://docs.microsoft.com/en-us/learn/modules/set-up-iot-edge-gateway/,10,434,"4,042",52.17%,322,168,183,,155.9725,21.56301843,100,4.4,20,153,97,azure-iot;azure-iot-edge,developer,advanced
Analyze Dynamics 365 sales data,https://docs.microsoft.com/en-us/learn/modules/analyze-dynamics-365-sales-data/,8,451,"2,808",50.61%,330,167,149,,145.6436111,19.37609017,60,4.9,10,55,46,dynamics-365;dynamics-sales,business-user;functional-consultant,intermediate
Work with performance and monitoring tools in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/performance-monitoring-finance-operations/,9,579,"3,748",47.04%,355,167,171,,209.3897222,21.69841681,86,4.909090909,11,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer;solution-architect,intermediate
Administer Microsoft Power Platform subscriptions,https://docs.microsoft.com/en-us/learn/modules/administrating-power-platform-subscriptions/,9,410,"2,836",59.50%,279,166,173,,155.9477778,22.82162602,57,4.857142857,7,,,power-apps;dynamics-365;power-platform,administrator;functional-consultant,intermediate
Explore the technical architecture of Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/explore-technical-architecture-finance-operations/,8,450,"3,678",47.56%,349,166,161,,190.1425,25.35233333,71,4.909090909,11,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer,intermediate
"Create fiscal calendars, years, and periods in Dynamics 365 Finance",https://docs.microsoft.com/en-us/learn/modules/create-fiscal-calendars-years-periods-dyn365-finance/,11,757,"5,117",29.89%,552,165,169,2,172.1733333,13.64649934,69,4.923076923,13,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate
Deliver mail to mailboxes outside Microsoft 365 by using connectors,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-configure-transport-architecture/,5,340,"1,770",64.20%,257,165,183,,97.16722222,17.14715686,30,4.909090909,11,,,m365;office-365;office-exchange-server,administrator,intermediate
Explore Azure Synapse serverless SQL pools capabilities,https://docs.microsoft.com/en-us/learn/modules/explore-azure-synapse-serverless-sql-pools-capabilities/,6,319,"1,784",62.26%,265,165,169,,61.13583333,11.49890282,23,5,4,,,azure-synapse-analytics,data-engineer,beginner
Get started with React,https://docs.microsoft.com/en-us/learn/modules/react-get-started/,10,"1,279","6,757",19.71%,837,165,154,3,224.1197222,10.51382591,31,4.791666667,24,,,azure-app-service-static;vs-code,student;developer,beginner
Introduction to Microsoft 365 core services and features,https://docs.microsoft.com/en-us/learn/modules/intro-to-m365-core-services/,8,980,"4,674",32.80%,503,165,142,1,249.5405556,15.2779932,25,4.857142857,21,,,m365,administrator,beginner
Measure and optimize model performance with ROC and AUC,https://docs.microsoft.com/en-us/learn/modules/optimize-model-performance-roc-auc/,7,316,"2,001",70.82%,233,165,181,,121.8283333,23.13196203,36,4.933333333,15,131,110,azure,ai-engineer;data-scientist;student,beginner
Secure custom APIs with Microsoft Identity,https://docs.microsoft.com/en-us/learn/modules/identity-secure-custom-api/,8,501,"2,947",48.96%,337,165,178,2,109.8880556,13.16024617,83,4.727272727,11,,,m365;azure-active-directory,developer,intermediate
Apply and manage sensitivity labels,https://docs.microsoft.com/en-us/learn/modules/apply-manage-sensitivity-labels/,8,340,"2,272",60.29%,272,164,174,,103.7827778,18.31460784,54,5,6,,,m365;m365-information-protection,auditor;ip-admin;risk-practitioner,intermediate
Connect Windows hosts to Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/connect-windows-hosts-to-azure-sentinel/,5,316,"1,709",61.89%,265,164,191,,59.21583333,11.24351266,20,5,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Plan and manage organizational settings with Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-manage-org-settings/,8,544,"3,664",37.10%,442,164,180,1,185.0733333,20.4125,46,4,4,,,m365;office-365;office-exchange-server,administrator,intermediate
Use advanced features with Power Apps component framework,https://docs.microsoft.com/en-us/learn/modules/component-framework-advanced-topics/,6,423,"2,508",48.81%,336,164,175,,100.2316667,14.21725768,57,4.714285714,7,,,dynamics-365;power-platform,developer,advanced
Get Started with Git and GitHub in Visual Studio,https://docs.microsoft.com/en-us/learn/modules/visual-studio-github-push/,11,"6,535","26,373",4.07%,"4,006",163,103,,1051.991944,9.65868656,38,4.827586207,29,,,github;vs,developer;devops-engineer;solution-architect;technology-manager;administrator;student,beginner
Plan your identity and authentication solution for Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/plan-your-identity-authentication-solution-for-microsoft-365/,11,397,"3,371",54.15%,301,163,192,2,268.0069444,40.50482788,59,4.875,8,,,azure-active-directory;m365;office-365,administrator;solution-architect;technology-manager,intermediate
Ship and invoice items in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/ship-invoice-items-dynamics-365-business-central/,7,334,"2,329",60.15%,271,163,144,,102.9161111,18.48792415,50,4.333333333,3,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate
Connect non-Azure resources to Azure Defender,https://docs.microsoft.com/en-us/learn/modules/connect-non-azure-machines-to-azure-defender/,7,264,"1,877",69.53%,233,162,189,,66.59166667,15.1344697,44,5,4,,,azure;azure-security-center,security-operations-analyst,intermediate
Connect Common Event Format logs to Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/connect-common-event-format-logs-to-azure-sentinel/,5,258,"1,487",71.88%,224,161,183,,44.73888889,10.40439276,20,5,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Describe Windows Server administration tools,https://docs.microsoft.com/en-us/learn/modules/describe-windows-server-administration-tools/,8,839,"4,017",29.81%,540,161,158,,238.4361111,17.05145014,45,4.882352941,17,,,windows-server,administrator;solution-architect;technology-manager,intermediate
Introduction to Azure Purview,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-purview/,6,"1,342","4,236",30.61%,526,161,142,5,273.0136111,12.20627173,31,4.882352941,17,,,azure,developer;data-analyst;data-analyst;data-scientist;database-administrator;administrator;solution-architect;ai-engineer,beginner
Perform machine learning with Azure Databricks,https://docs.microsoft.com/en-us/learn/modules/perform-machine-learning-with-azure-databricks/,9,338,"2,804",59.19%,272,161,189,,61.60777778,10.93629191,59,4.2,5,,,azure-databricks,data-scientist,intermediate
Power Apps portals administration,https://docs.microsoft.com/en-us/learn/modules/portals-administration/,4,489,"1,699",39.85%,404,161,164,,87.32305556,10.71448534,13,5,5,,,power-platform;power-apps,maker;administrator,intermediate
Remediate security alerts using Azure Defender,https://docs.microsoft.com/en-us/learn/modules/remediate-azure-defender-security-alerts/,8,285,"2,129",65.45%,246,161,186,,107.4119444,22.61304094,52,5,13,,,azure;azure-security-center,security-operations-analyst,intermediate
Connect Microsoft 365 Defender to Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/connect-microsoft-defender-365-to-azure-sentinel/,7,277,"1,931",69.87%,229,160,186,,55.26416667,11.97057762,28,5,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Evaluate performance improvements,https://docs.microsoft.com/en-us/learn/modules/evaluate-performance-improvements/,8,455,"2,995",46.92%,341,160,172,,151.0077778,19.91311355,45,4.727272727,11,,,azure-sql-database;sql-server,data-analyst;data-engineer;database-administrator,intermediate
JavaScript arrays and loops,https://docs.microsoft.com/en-us/learn/modules/web-development-101-arrays/,7,322,"1,947",68.97%,232,160,188,,68.52222222,12.76811594,18,4.916666667,24,,,vs-code,student,beginner
Implement common integration features in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/implement-common-integration-features-finance-ops/,13,423,"4,401",49.07%,324,159,166,,690.3172222,97.91733649,129,5,6,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,functional-consultant;administrator,advanced
Optimize Azure costs with data analysis in Power BI,https://docs.microsoft.com/en-us/learn/modules/optimize-costs-data-analysis-powerbi/,7,334,"1,839",70.35%,226,159,169,2,34.22194444,6.147654691,27,4.916666667,12,,,azure;azure-cost-management,administrator;developer,beginner
Power Apps portals architecture,https://docs.microsoft.com/en-us/learn/modules/portals-architecture/,6,509,"2,322",50.00%,318,159,161,,101.2447222,11.93454486,26,5,9,,,power-apps;power-platform,maker;functional-consultant,intermediate
Get started with Success by Design for Dynamics 365,https://docs.microsoft.com/en-us/learn/modules/success-by-design/,8,"1,118","5,565",25.86%,611,158,137,2,239.3516667,12.84534884,61,4.857142857,7,,,dynamics-365;dynamics-sales;dynamics-marketing;dynamics-customer-service;dynamics-field-service;dynamics-finance;dynamics-scm;dynamics-finance-operations;dynamics-project-operations;dynamics-commerce;dynamics-human-resources,solution-architect;functional-consultant,intermediate
Plan and manage client access with Exchange Online,https://docs.microsoft.com/en-us/learn/modules/m365-messaging-manage-client-access/,8,311,"2,787",67.52%,234,158,171,,104.3063889,20.12341908,23,4.5,10,,,m365;office-365;office-exchange-server,administrator,intermediate
Understand the Power BI administrator role,https://docs.microsoft.com/en-us/learn/modules/power-bi-admin-intro/,8,425,"2,689",51.63%,306,158,158,,69.44527778,9.804039216,16,4.571428571,14,,,power-platform;power-bi,administrator,intermediate
Introduction to the development process in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/introduction-development-process/,8,596,"4,761",31.40%,500,157,119,,145.6786111,14.66563199,42,4.857142857,7,,,dynamics-365;dynamics-business-central,developer,beginner
Automate Docker container deployments with Azure Pipelines,https://docs.microsoft.com/en-us/learn/modules/deploy-docker/,6,895,"3,673",27.86%,560,156,163,,159.3988889,10.68595903,46,4.625,8,,,azure;azure-devops,devops-engineer;administrator;developer;solution-architect,beginner
Getting started with the Microsoft Cloud Adoption Framework for Azure,https://docs.microsoft.com/en-us/learn/modules/cloud-adoption-framework-getting-started/,5,572,"2,357",41.38%,377,156,168,4,106.9183333,11.21520979,43,4.857142857,14,,,azure,administrator;developer;solution-architect;auditor;business-analyst;business-owner;data-engineer;database-administrator;developer;devops-engineer;functional-consultant;privacy-manager;risk-practitioner;security-engineer;solution-architect;student;technology-manager,beginner
Handle variables in Power Automate for desktop,https://docs.microsoft.com/en-us/learn/modules/pad-variables/,9,"1,291","5,986",17.14%,910,156,155,1,234.9341667,10.91870643,68,4.769230769,13,,,power-platform;power-automate,maker;developer;functional-consultant,beginner
Perform fit gap analysis,https://docs.microsoft.com/en-us/learn/modules/fit-gap-analysis/,7,857,"3,542",30.77%,507,156,154,1,123.805,8.667794632,35,4.857142857,7,,,dynamics-365;power-platform,solution-architect,advanced
Deploy SQL Server in a virtual machine,https://docs.microsoft.com/en-us/learn/modules/deploy-sql-server-virtual-machine/,10,726,"4,727",27.88%,556,155,150,,265.3308333,21.92816804,75,4.8,10,,,azure;azure-sql-database;sql-server,data-analyst;data-engineer;database-administrator,intermediate
Manage records in Microsoft 365,https://docs.microsoft.com/en-us/learn/modules/m365-compliance-information-manage-records/,6,293,"1,708",67.39%,230,155,161,,66.38416667,13.5940273,46,5,6,,,m365;office-365,administrator,intermediate
"Monitor, troubleshoot, and investigate Teams usage",https://docs.microsoft.com/en-us/learn/modules/m365-teams-monitor-troubleshoot-investigate/,6,"1,697","3,367",9.41%,"1,647",155,168,,108.8455556,3.848399136,19,5,8,,,office-teams,administrator,intermediate
Transition from Azure Information Protection to Microsoft Information Protection,https://docs.microsoft.com/en-us/learn/modules/m365-compliance-information-transition-to-microsoft-information-protection/,4,324,"1,498",69.82%,222,155,167,,67.18722222,12.44207819,35,5,6,,,m365;office-365,administrator,intermediate
Automate Azure Functions deployments with Azure Pipelines,https://docs.microsoft.com/en-us/learn/modules/deploy-azure-functions/,6,"1,379","5,277",15.98%,964,154,169,,230.0172222,10.00800097,46,4.888888889,9,,,azure;azure-devops,devops-engineer;administrator;developer;solution-architect,beginner
Manage sales prices in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/manage-sales-prices-dynamics-365-business-central/,8,508,"3,121",44.90%,343,154,149,,109.8461111,12.97395013,53,4,3,,,dynamics-365;dynamics-business-central,business-user;functional-consultant,intermediate
Monitor and maintain Azure Active Directory,https://docs.microsoft.com/en-us/learn/modules/monitor-maintain-azure-active-directory/,9,387,"2,456",56.41%,273,154,172,,119.0855556,18.46287683,37,4.8,5,,,azure;azure-active-directory,administrator;identity-access-admin;security-engineer,advanced
Configure chart of accounts in Dynamics 365 Finance,https://docs.microsoft.com/en-us/learn/modules/configure-chart-accounts-dyn365-finance/,22,"1,092","12,020",20.68%,740,153,147,2,572.4830556,31.45511294,139,4.75,8,,,dynamics-365;dynamics-finance;dynamics-finance-operations,functional-consultant,intermediate
"Understand how to use packages, variables, and functions in Go",https://docs.microsoft.com/en-us/learn/modules/go-variables-functions-packages/,7,616,"4,133",28.87%,530,153,120,,321.6330556,31.32789502,36,4.958333333,24,,,azure;vs-code,developer;student,beginner
Connect syslog data sources to Azure Sentinel,https://docs.microsoft.com/en-us/learn/modules/connect-syslog-data-sources-to-azure-sentinel/,7,308,"2,064",59.38%,256,152,175,,70.24722222,13.68452381,28,4.333333333,3,,,azure;azure-sentinel,security-operations-analyst,intermediate
Manage OneDrive migrations and deployment,https://docs.microsoft.com/en-us/learn/modules/m365-onedrive-collaboration-manage-migrations-deployment/,6,373,"2,028",53.15%,286,152,164,1,74.20666667,11.93672922,36,4.8,10,,,m365;office-365,administrator,intermediate
Store and Access NoSQL Data with Azure Cosmos DB and the Table API,https://docs.microsoft.com/en-us/learn/modules/store-access-data-cosmos-table-api/,4,335,"1,314",64.68%,235,152,168,,55.00194444,9.851094527,29,4,4,93,91,azure;azure-storage;azure-cosmos-db,developer,beginner
Configure Business Central for Excel and Power BI,https://docs.microsoft.com/en-us/learn/modules/configure-powerbi-excel-dynamics-365-business-central/,8,532,"3,216",42.30%,357,151,152,,149.3391667,16.84276316,61,4.375,8,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate
Create and manage teams,https://docs.microsoft.com/en-us/learn/modules/create-manage-teams/,10,384,"2,841",43.14%,350,151,158,,116.2319444,18.16124132,52,4.75,4,,,m365;office-teams,administrator,intermediate
Perform model selection with hyperparameter tuning,https://docs.microsoft.com/en-us/learn/modules/perform-model-selection-with-hyperparameter-tuning/,5,236,"1,350",75.88%,199,151,181,,24.93888889,6.34039548,33,4.833333333,6,,,azure-databricks,data-scientist,intermediate
Set up discounts for your customers in Dynamics 365 Business Central,https://docs.microsoft.com/en-us/learn/modules/customer-discounts-dynamics-365-business-central/,7,446,"2,656",47.78%,316,151,148,,92.72944444,12.47481315,43,4.75,4,,,dynamics-365;dynamics-business-central,functional-consultant;business-user,intermediate
Explore Power Apps portals Studio,https://docs.microsoft.com/en-us/learn/modules/explore-portals-studio/,9,494,"3,249",40.21%,373,150,156,,85.89583333,10.43269231,40,5,7,,,power-apps;power-platform,maker;functional-consultant,intermediate
Implement role-based security in Finance and Operations apps,https://docs.microsoft.com/en-us/learn/modules/role-security-finance-operations/,8,383,"2,557",57.25%,262,150,165,1,98.33666667,15.40522193,65,4.833333333,12,,,dynamics-365;dynamics-finance-operations;dynamics-finance;dynamics-scm,developer;solution-architect,intermediate
Introduction to Azure Arc,https://docs.microsoft.com/en-us/learn/modules/intro-to-azure-arc/,7,599,"3,069",37.78%,397,150,160,,157.2997222,15.75623261,37,4.416666667,12,,,azure;azure-arc,solution-architect,beginner
Train a machine learning model,https://docs.microsoft.com/en-us/learn/modules/train-machine-learning-model/,7,301,"1,912",70.09%,214,150,179,,35.49111111,7.074640089,53,4.285714286,7,,,azure-databricks,data-scientist,intermediate
Implement app registration,https://docs.microsoft.com/en-us/learn/modules/implement-app-registration/,10,408,"3,031",45.57%,327,149,173,,192.2397222,28.27054739,54,4.8,5,,,azure;azure-active-directory,administrator;identity-access-admin;security-engineer,advanced
