Title,LiveUrl,Total Units,Visitors,Page Views,Module Completed Rate,Module Started,Module Completed,Badges,Shared Badges,Module Hours Viewed,Module Avg Minutes per UV,Sum of Duration,Average Star rating,Total Rater,Sandbox Activate(Clicks),Sandbox Activate(Users),Products,Roles,Levels
"Monitor, diagnose, and troubleshoot your Azure storage",https://docs.microsoft.com/en-us/learn/modules/monitor-diagnose-and-troubleshoot-azure-storage/,7,"1,409","9,841",70.15%,"1,129",792,864,,385.0330556,16.39601372,41,4.673076923,52,482,425,azure;azure-storage,solution-architect;developer,intermediate
Develop secure IoT Solutions for Azure Sphere with IoT Hub,https://docs.microsoft.com/en-us/learn/modules/develop-secure-iot-solutions-azure-sphere-iot-hub/,21,926,"20,960",91.97%,859,790,870,4,107.4363889,6.961321094,125,4.888888889,54,,,azure-iot-hub,ai-edge-engineer,intermediate
Image classification using Azure Sphere,https://docs.microsoft.com/en-us/learn/modules/image-classification-azure-sphere/,14,876,"13,952",94.38%,837,790,872,6,62.08055556,4.252092846,68,4.79245283,53,,,azure-iot-edge,ai-edge-engineer,intermediate
Connecting IoT devices to Cognitive Services using Azure Functions,https://docs.microsoft.com/en-us/learn/modules/connecting-iot-devices-cognitive-services-azure-functions/,13,955,"14,374",88.33%,891,787,891,5,92.36527778,5.803054101,76,4.803278689,61,,,azure-iot-hub,ai-edge-engineer,intermediate
Manage Microsoft Teams,https://docs.microsoft.com/en-us/learn/modules/m365-teams-collab-manage-teams/,9,"2,065","13,544",55.89%,"1,408",787,808,14,405.7105556,11.78820016,19,4.525423729,59,,,m365;office-365;office-teams,administrator,beginner
Run Cognitive Services on IoT Edge,https://docs.microsoft.com/en-us/learn/modules/run-cognitive-services-iot-edge/,9,924,"9,628",90.87%,865,786,889,9,60.66055556,3.938997114,64,4.745762712,59,,,azure-iot-hub,ai-edge-engineer,intermediate
Manage the sales lifecycle with Dynamics 365 Sales,https://docs.microsoft.com/en-us/learn/modules/manage-sales-lifecycle-with-dynamics-365-sales/,10,"1,772","16,843",55.67%,"1,410",785,816,,703.6047222,23.82408766,62,4.75,44,824,601,dynamics-sales,business-owner;business-user;functional-consultant;student,beginner
Survey the Components of Azure Synapse Analytics,https://docs.microsoft.com/en-us/learn/modules/survey-components-of-azure-synapse-analytics/,12,"1,638","18,431",56.46%,"1,385",782,837,3,840.4230556,30.78472731,65,4.307692308,26,,,azure-synapse-analytics,data-engineer,beginner
Use administration options for Microsoft Dataverse,https://docs.microsoft.com/en-us/learn/modules/use-admin-options-cds/,7,"1,195","8,439",75.14%,"1,038",780,655,1,288.34,14.47732218,44,4.757575758,33,,,dynamics-365;power-platform;common-data-service;power-apps,functional-consultant,intermediate
Develop secure IoT solutions for Azure Sphere with Azure IoT Central,https://docs.microsoft.com/en-us/learn/modules/develop-secure-iot-solutions-azure-sphere-iot-central/,21,929,"21,532",90.63%,854,774,864,4,81.62916667,5.272066738,120,4.814814815,54,,,azure-iot-central,ai-edge-engineer,intermediate
